state,plate_title,plate_img
AR,"Amateur Radio License Plate",amateur_radio_lg.jpg
AR,"Ambulance License Plate",ambulance_lg.jpg
AR,"Antique Vehicle License Plate - Current",antique_vehicle_current_lg.jpg
AR,"AR Tennis License Plate",ARTennisLicensePlate2ndCAD.png
AR,"Arkansas Agricultural Education Plate ( FFA )",Agriculture_FFA_(002)_-_Copy.jpg
AR,"Arkansas Coalition Against Domestic Violence",123_11.jpg
AR,"Arkansas Court Appointed Special Advocates",CASA_lg.jpg
AR,"Arkansas Down Syndrome Association License Plate",DownSyndrome_lg.jpg
AR,"Arkansas Municipal Police Association License Plate",AMPA_lg.jpg
AR,"Arkansas Rice Council",ricelg.jpg
AR,"Arkansas School for the Deaf License Plate",school4deaf_lg.jpg
AR,"Arkansas Sheriffs’ Association",ASA_lg.jpg
AR,"Arkansas State Lodge Fraternal Order of Police License Plate",FraternalOrder_ofPolice.jpg
AR,"Arkansas State Parks",StateParks_lg.jpg
AR,"Arkansas State University License Plate",asu2_lg.jpg
AR,"Arkansas Tech University License Plate",artech_lg.jpg
AR,"Armed Forces Reserve License Plate",af_reserved_lg.jpg
AR,"Armed Forces Retired License Plate",af_retired_lg.jpg
AR,"Autism Awareness",autism_lg.jpg
AR,"Border City Taxi Cab License Plate",MISSING.png
AR,"Boy Scout, Girl Scout, and Orphanages License Plate",MISSING.png
AR,"Boy Scouts of America License Plate",boyscout_lg.jpg
AR,"Buffalo River License Plate",Buffalo_River_v1_RS.jpg
AR,"Cattlemen’s Foundation License Plate",cattlemen_lg.jpg
AR,"Childhood Cancer Research",CCR_lg.jpg
AR,"Choose Life License Plate",ar_choose_life_lg.jpg
AR,"Church Bus License Plate",MISSING.png
AR,"Civil Air Patrol License Plate",MISSING.png
AR,"Cold War Veteran License Plate",coldwar_vet_lg.jpg
AR,"Committed To Education License Plate - Design 1",education_book_lg.jpg
AR,"Committed To Education License Plate - Design 2",education_lg.jpg
AR,"Congressional Medal of Honor License Plate",ar_mh_lg.jpg
AR,"Department of Conservation Districts",Conservation_lg.jpg
AR,"Disabled Veteran License Plate - Free",davfree_lg.jpg
AR,"Distinguished Flying Cross Plate",dfcross_lg.jpg
AR,"Dr. Martin Luther King, Jr.",mlk_lg.jpg
AR,"Dr. Martin Luther King, Jr. Commission License Plate",mlk2_lg.jpg
AR,"Ducks Unlimited License Plate - Design 1 - Valid No Longer Issued",du_design1_lg.jpg
AR,"Ducks Unlimited License Plate - Design 2",du_design2_lg.jpg
AR,"Ducks Unlimited License Plate - Design 3",du_design3_lg.jpg
AR,"Emergency Medical Services License Plate",ems_lg.jpg
AR,"Ex-Prisoner Of War License Plate",redtop_expow_lg.jpg
AR,"Farm To Market Bus License Plate",redtop_fmbus_lg.jpg
AR,"Fire Fighter License Plate (Active)",firefighter_lg.jpg
AR,"Fire Fighter License Plate (Memorial)",firefighter_memorial_lg.jpg
AR,"Fire Fighter License Plate (Retired)",firefighter_ret_lg.jpg
AR,"Freemason License Plate",freemason_lg.jpg
AR,"Game & Fish Bird Dog License Plate",GameFishBirdDog2ndCAD2020.jpg
AR,"Game & Fish Crappie Fish License Plate",agfcCrappieFish_lg.jpg
AR,"Game & Fish Deer License Plate",GameFishDeer1stCAD.jpg
AR,"Game & Fish Ivory Billed Woodpecker Plate",agfc_woodpecker_lg.jpg
AR,"Game & Fish Longear Sunfish License Plate",Longear_Sunfish_v1_RS.jpg
AR,"Game & Fish Monarch Butterfly",Monarch_Butterfly_GameFish.jpg
AR,"Game & Fish Red Cardinal License Plate",RedCardinal_lg.jpg
AR,"Game and Fish Black Bear License Plate",agfc_bear_lg.jpg
AR,"Game and Fish Black Lab License Plate",agfc_blacklab_lg.jpg
AR,"Game and Fish Butterfly License Plate",agfc_butterfly_lg.jpg
AR,"Game and Fish Deer (New Design) License Plate",agfc_deer_2011_lg.jpg
AR,"Game And Fish Deer License Plate",agfc_deer_lg.jpg
AR,"Game and Fish Eagle Plate",agfc_eagle_lg.jpg
AR,"Game and Fish Elk License Plate",agfc_elk_lg.jpg
AR,"Game And Fish Hummingbird License Plate",agfc_hummingbird_lg.jpg
AR,"Game and Fish Largemouth Bass License Plate",agfc_bass_lg.jpg
AR,"Game and Fish Mallard Duck License Plate",afgc_mallard_lg.jpg
AR,"Game And Fish Rainbow Trout License Plate",agfc_trout_lg.jpg
AR,"Game and Fish Red Fox License Plate",GameFish_RedFox.jpg
AR,"Game and Fish Smallmouth Bass License Plate",agfcSmBass_lg.jpg
AR,"Game and Fish Squirrel License Plate",agfcSquirrel_lg.jpg
AR,"Game and Fish Wild Turkey License Plate",agfc_turkey_lg.jpg
AR,"Game Fish Pintail Duck License Plate",GameFishPintailDuck1stCAD.jpg
AR,"Gold Star Family License Plate",goldstar_family_lg.jpg
AR,"Golf Association License Plate",golf_lg.jpg
AR,"Grand Lodge of Arkansas",GrandLodgeofArkansas1stCAD.png
AR,"Harding University License Plate",harding_lg.jpg
AR,"Hearse License Plate",MISSING.png
AR,"Henderson State University License Plate",henderson_lg.jpg
AR,"Hendrix College License Plate",hendrix_lg.jpg
AR,"Hospice and Palliative Care",HospicePalliativeCare_lg.jpg
AR,"Humane Society of the Ozarks License Plate",humaneSociety_lg.jpg
AR,"In God We Trust License Plate",igwe_lg.jpg
AR,"John Brown University License plate",JohnBrownUniversity1stCAD.jpg
AR,"Justice of the Peace License Plate",redtop_jp_lg.jpg
AR,"Kappa Alpha PSI Fraternity License Plate",Kappa_Alpha_lg.jpg
AR,"Korean Veteran License Plate",korean_lg.jpg
AR,"Little Rock Air Force Base",MISSING.png
AR,"Little Rock Rangers Soccer Club",LittleRockRangersSoccerClub2ndCAD.jpg
AR,"Lyon College License Plate",lyons_lg.jpg
AR,"Merchant Marine Retired License Plate",redtop_retmm_lg.jpg
AR,"Mid-South Community College License Plate",mscc_lg.jpg
AR,"National Guard License Plate",national_guard_lg.jpg
AR,"National Multiple Sclerosis Society License Plate",MISSING.png
AR,"National Park Community College License Plate",NationalParkCollege_lg.jpg
AR,"National Wild Turkey Federation",NWTF_lg.jpg
AR,"Northwest Arkansas Community College Plate",nwacc_lg.jpg
AR,"Not For Hire Bus License Plate",nfh_lg.jpg
AR,"Omega PSI PHI Fraternity License Plate",omegapsiphi_lg.jpg
AR,"Operation Enduring Freedom Veteran License Plate",MISSING.png
AR,"Operation Iraqi Freedom Veteran License Plate",iraqi_freedom_lg.jpg
AR,"Organ Donor Awareness License Plate",organ_donor_lg.jpg
AR,"Ouachita Baptist University License Plate",obu_lg.jpg
AR,"Pearl Harbor Survivor License Plate",pearlharbor_lg.jpg
AR,"Persian Gulf War Veteran License Plate",persiangulf_lg.jpg
AR,"Personalized License Plate",pclp_lg.jpg
AR,"Personalized Motorcycle License Plate",mc_personalized_lg.jpg
AR,"Persons With Disabilities License Plate",disabled_lg.jpg
AR,"Persons with Disabilities Motorcycle License Plate",mc_disabled_lg.jpg
AR,"Persons With Disabilities Placard",hand_stacked_placards.gif
AR,"Phi Beta Sigma Fraternity License Plate",phiBetaSigma_lg.jpg
AR,"Prince Hall Grand Lodge of Arkansas",PrinceHallGrandLodgeofArkansas4thCAD.png
